month,year,section,commodity,vessels_current,vessels_prev_year,traffic_tonnes_current,traffic_tonnes_prev_year,pct_variation_yoy
October,2024,LOADED,OTH.LIQ.CARGOES,0.0,1.0,0.0,0.0,72.53
October,2024,LOADED,OTHER CARGO,1.0,4.0,4018.0,275.0,-86.51
October,2024,LOADED,PETROCHEMICALS,4.0,16.0,124536.0,26110.0,125.6
October,2024,LOADED,POL PRODUCTS,12.0,66.0,427017.0,311262.0,30.53
October,2024,LOADED,TOTAL COAL,0.0,1.0,10853.0,0.0,195.07
October,2024,UNLOADED,CONTAINER (JSW),10.0,92.0,111050.0,150236.0,-19.37
October,2024,UNLOADED,EDIBLE OIL,10.0,58.0,118583.0,70357.0,9.6
October,2024,UNLOADED,F.R.M. (DRY),0.0,2.0,0.0,0.0,49.43
October,2024,UNLOADED,FERTILIZER,1.0,15.0,31210.0,72400.0,-23.16
October,2024,UNLOADED,IRON ORE,0.0,19.0,0.0,110000.0,-89.8
October,2024,UNLOADED,OTH. LIQ. CARGOES,10.0,85.0,63499.0,36066.0,-21.85
October,2024,UNLOADED,OTHER CARGO,11.0,36.0,37565.0,18594.0,-12.92
October,2024,UNLOADED,POL PRODUCTS,9.0,57.0,96201.0,130109.0,8.55
October,2024,UNLOADED,TOTAL CEMENT,1.0,13.0,15673.0,21750.0,-35.34
October,2024,UNLOADED,TOTAL COAL,12.0,68.0,660774.0,776593.0,28.94
October,2024,UNLOADED,TOTAL CRUDE,15.0,111.0,1682162.0,1676845.0,10.45
October,2024,UNLOADED,TOTAL LPG,12.0,101.0,356490.0,290279.0,-9.3
November,2024,LOADED,CONTAINER (JSW),12.0,78.0,86336.0,92211.0,-14.55
November,2024,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
November,2024,LOADED,FOOD GRAINS,0.0,0.0,0.0,0.0,0.0
November,2024,LOADED,IRON ORE,0.0,24.0,0.0,320433.0,-79.3
November,2024,LOADED,OTH.LIQ.CARGOES,1.0,1.0,6402.0,0.0,151.53
November,2024,LOADED,OTHER CARGO,1.0,4.0,4074.0,0.0,-80.25
November,2024,LOADED,PETROCHEMICALS,5.0,20.0,97665.0,75983.0,109.77
November,2024,LOADED,POL PRODUCTS,16.0,81.0,507124.0,595621.0,21.74
November,2024,LOADED,TOTAL COAL,0.0,1.0,0.0,0.0,195.07
November,2024,UNLOADED,CONTAINER (JSW),12.0,108.0,126791.0,133213.0,-17.76
November,2024,UNLOADED,EDIBLE OIL,10.0,65.0,130608.0,79784.0,16.11
November,2024,UNLOADED,F.R.M. (DRY),0.0,3.0,0.0,16000.0,-2.54
November,2024,UNLOADED,FERTILIZER,3.0,15.0,97000.0,0.0,3.26
November,2024,UNLOADED,IRON ORE,0.0,23.0,0.0,227500.0,-91.63
November,2024,UNLOADED,OTH. LIQ. CARGOES,8.0,97.0,40624.0,68343.0,-24.37
November,2024,UNLOADED,OTHER CARGO,8.0,44.0,25761.0,24104.0,-10.35
November,2024,UNLOADED,POL PRODUCTS,8.0,63.0,93868.0,103988.0,6.07
November,2024,UNLOADED,TOTAL CEMENT,2.0,16.0,20674.0,35408.0,-36.68
November,2024,UNLOADED,TOTAL COAL,8.0,85.0,570783.0,1004784.0,13.0
November,2024,UNLOADED,TOTAL CRUDE,14.0,123.0,1487826.0,1356172.0,10.36
November,2024,UNLOADED,TOTAL LPG,10.0,116.0,256761.0,264843.0,-11.89
December,2024,LOADED,CONTAINER (JSW),14.0,83.0,85700.0,81663.0,-12.6
December,2024,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
December,2024,LOADED,FOOD GRAINS,0.0,0.0,0.0,0.0,0.0
December,2024,LOADED,IRON ORE,1.0,31.0,108129.0,386673.0,-77.63
December,2024,LOADED,OTH.LIQ.CARGOES,0.0,2.0,0.0,8755.0,20.91
December,2024,LOADED,OTHER CARGO,1.0,4.0,4968.0,0.0,-72.6
December,2024,LOADED,PETROCHEMICALS,2.0,25.0,46309.0,131312.0,71.4
December,2024,LOADED,POL PRODUCTS,13.0,99.0,508301.0,671540.0,13.5
December,2024,LOADED,TOTAL COAL,0.0,1.0,0.0,0.0,195.07
December,2024,UNLOADED,CONTAINER (JSW),8.0,126.0,152936.0,135125.0,-14.63
December,2024,UNLOADED,EDIBLE OIL,4.0,73.0,32966.0,67916.0,9.83
December,2024,UNLOADED,F.R.M. (DRY),1.0,3.0,13000.0,0.0,25.72
December,2024,UNLOADED,FERTILIZER,2.0,15.0,62000.0,0.0,20.15
December,2024,UNLOADED,IRON ORE,2.0,28.0,112530.0,266800.0,-85.75
December,2024,UNLOADED,OTH. LIQ. CARGOES,7.0,108.0,36467.0,52648.0,-24.97
December,2024,UNLOADED,OTHER CARGO,12.0,53.0,72241.0,26811.0,12.32
December,2024,UNLOADED,POL PRODUCTS,11.0,72.0,136556.0,118218.0,7.33
December,2024,UNLOADED,TOTAL CEMENT,3.0,18.0,32494.0,18693.0,-25.53
December,2024,UNLOADED,TOTAL COAL,13.0,100.0,667010.0,875654.0,7.06
December,2024,UNLOADED,TOTAL CRUDE,13.0,136.0,1403476.0,1427370.0,8.94
December,2024,UNLOADED,TOTAL LPG,9.0,130.0,255455.0,251973.0,-10.49
January,2025,LOADED,CONTAINER (JSW),5.0,87.0,85317.0,70324.0,-9.92
January,2025,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
January,2025,LOADED,FOOD GRAINS,0.0,0.0,0.0,0.0,0.0
January,2025,LOADED,IRON ORE,6.0,40.0,258043.0,503964.0,-70.99
January,2025,LOADED,OTH.LIQ.CARGOES,1.0,2.0,8010.0,0.0,68.42
January,2025,LOADED,OTHER CARGO,0.0,5.0,422.0,3037.0,-73.2
January,2025,LOADED,PETROCHEMICALS,2.0,29.0,18125.0,104229.0,48.52
January,2025,LOADED,POL PRODUCTS,15.0,114.0,667601.0,478499.0,16.44
January,2025,LOADED,TOTAL COAL,1.0,2.0,21500.0,5500.0,231.17
January,2025,UNLOADED,CONTAINER (JSW),16.0,144.0,112426.0,137734.0,-14.98
January,2025,UNLOADED,EDIBLE OIL,6.0,82.0,71192.0,88374.0,6.68
January,2025,UNLOADED,F.R.M. (DRY),0.0,3.0,0.0,0.0,25.72
January,2025,UNLOADED,FERTILIZER,2.0,18.0,55016.0,107250.0,4.58
January,2025,UNLOADED,IRON ORE,4.0,32.0,217250.0,263500.0,-75.75
January,2025,UNLOADED,OTH. LIQ. CARGOES,15.0,114.0,81030.0,30694.0,-15.16
January,2025,UNLOADED,OTHER CARGO,5.0,59.0,10695.0,13364.0,10.41
January,2025,UNLOADED,POL PRODUCTS,12.0,83.0,119247.0,121419.0,6.23
January,2025,UNLOADED,TOTAL CEMENT,2.0,19.0,16671.0,9960.0,-20.8
January,2025,UNLOADED,TOTAL COAL,12.0,112.0,734380.0,657884.0,7.55
January,2025,UNLOADED,TOTAL CRUDE,16.0,151.0,1698297.0,1576414.0,8.8
January,2025,UNLOADED,TOTAL LPG,12.0,140.0,240804.0,241335.0,-9.55
February,2025,LOADED,CONTAINER (JSW),4.0,92.0,89082.0,97700.0,-9.81
February,2025,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
February,2025,LOADED,FOOD GRAINS,0.0,0.0,0.0,0.0,0.0
